pattern,n,freq_verde,lift_verde,freq_giallo,lift_giallo,freq_rosso,lift_rosso,dominant_target,max_lift
"('extremely_high', 'high', 'normal', 'high', 'extremely_high')",5,0.001103938540248361,0.08059355758972563,0.009712850361288466,1.770323140079472,0.026302156984086538,5.786570780134699,rosso,5.786570780134699
"('extremely_high', 'high', 'extremely_high', 'high', 'normal')",5,0.002116201543509475,0.08436753771194597,0.018190791293667217,1.8369885552021752,0.04688493191345182,5.48870788754533,rosso,5.48870788754533
"('normal', 'high', 'extremely_high', 'high', 'extremely_high')",5,0.002119444086618349,0.08440627528738749,0.01821734848568678,1.8382690943611397,0.04691293378397677,5.483920909461055,rosso,5.483920909461055
"('extremely_low', 'low', 'normal', 'high', 'extremely_high')",5,0.0009872069883289083,0.0830379002994783,0.008762102886988083,1.9034477313537916,0.02177845480078069,5.317983441682758,rosso,5.317983441682758
"('extremely_high', 'high', 'normal', 'low', 'extremely_low')",5,0.000974826369185936,0.08111767172768736,0.008886921689480033,1.9245563163065555,0.021919864246931695,5.297580793154305,rosso,5.297580793154305
"('extremely_low', 'low', 'extremely_low', 'low', 'normal')",5,0.0018647570642486334,0.08188433121249257,0.017101061181131114,1.9835014004885254,0.04071471974327885,5.117795538240642,rosso,5.117795538240642
"('normal', 'low', 'extremely_low', 'low', 'extremely_low')",5,0.0018650518408948947,0.08194446997613519,0.017099290701663144,1.9852024162955397,0.04066571646986019,5.1119769671051545,rosso,5.1119769671051545
"('extremely_low', 'low', 'normal', 'low', 'extremely_low')",5,0.0008802030657360765,0.08545712144859366,0.007999026236292617,2.113705495523454,0.017578174222038032,4.717737212373567,rosso,4.717737212373567
"('normal', 'high', 'normal', 'low', 'normal')",5,0.14489451270325218,2.860101680508401,0.06073098671033849,0.4938890019074014,0.018806056244557137,0.16904339913590374,verde,2.860101680508401
"('normal', 'low', 'normal', 'high', 'normal')",5,0.1447872140040131,2.854837758940062,0.060853149793628485,0.4953474473814705,0.018652045956669906,0.1676825043427551,verde,2.854837758940062
"('high', 'normal', 'high', 'extremely_high', 'high')",5,0.013844774744951877,0.352507750877134,0.03518518108685308,1.7148644833545508,0.052212287780823756,2.333440054811002,rosso,2.333440054811002
"('high', 'extremely_high', 'high', 'normal', 'high')",5,0.013847722511414489,0.3544097063088716,0.034998838122849145,1.7092513033049048,0.051958870852572954,2.3296860702333566,rosso,2.3296860702333566
"('high', 'normal', 'high', 'extremely_high')",4,0.0169254281502053,0.3599165008276918,0.042078676236399055,1.6825602045470525,0.06274735288282744,2.314351078464956,rosso,2.314351078464956
"('extremely_high', 'high', 'normal', 'high')",4,0.016916785562268766,0.36181650023269457,0.04183424808716456,1.6774614092665847,0.06239261060057364,2.3101397547052374,rosso,2.3101397547052374
"('high', 'normal', 'low', 'normal')",4,0.19059607208782597,2.2108276018633073,0.09902831874700417,0.6001853944462299,0.045477624336329306,0.2962482391211696,verde,2.2108276018633073
"('normal', 'low', 'normal', 'high')",4,0.1902669335305764,2.208071386710134,0.09907011490239274,0.6016239524618732,0.04517163810234735,0.29459834238138677,verde,2.208071386710134
"('high', 'extremely_high', 'high', 'normal')",4,0.031504393675642235,0.36340606133073816,0.07882966532389904,1.7269295312087158,0.11167656918819499,2.203965549949627,rosso,2.203965549949627
"('normal', 'high', 'extremely_high', 'high')",4,0.03149971227384328,0.36338242391015874,0.07883231065018946,1.727391521955564,0.11163790059818628,2.20327694996777,rosso,2.20327694996777
"('high', 'normal', 'low', 'normal', 'high')",5,0.08432793430253929,2.1732177368371715,0.04431023226477521,0.6038422127883126,0.021383628426378882,0.3129430782893769,verde,2.1732177368371715
"('normal', 'high', 'normal', 'low')",4,0.19070770551533953,2.1730189902834245,0.10028008714762932,0.6058130131646305,0.047980995228632244,0.3113925069753787,verde,2.1730189902834245
"('low', 'normal', 'high', 'normal')",4,0.1908629119903664,2.1678687920336657,0.10053615473254164,0.6066610528225878,0.048337418753929905,0.3133070204498365,verde,2.1678687920336657
"('low', 'extremely_low', 'low', 'normal', 'high')",5,0.012227924840208949,0.3530018201140194,0.031892531896294166,1.8082431521331186,0.04333009445030928,2.156915588204246,rosso,2.156915588204246
